Instituição Publicadora	ID	Orgao	Nota de Proveniencia	Nota nome da Instituição	Email da Instituição	Endereço da Instituição	Telefones da Instituição
Perícia Oficial do Estado de Alagoas	56d6de778c36c706ac000006	POAL	1,0	1,0	1,0	1,0	1,0
Polícia Civil do Estado de Alagoas	5975ec948c36c75066f557fc	Polícia Civíl	1,0	1,0	1,0	1,0	1,0
Polícia Federal	5a16d404547bb32a441abae8	PF	0,75	1,0	0,0	1,0	1,0
Polícia Militar do Estado de Alagoas	5975e72b8c36c75066f557f5	PM AL	1,0	1,0	1,0	1,0	1,0
Procuradoria Geral do Estado	5975e7cc8c36c75066f557f6	PGE	1,0	1,0	1,0	1,0	1,0
Secretaria Municipal de Economia	5a16bae3547bb310b13fd80a	SEMEC	0,75	1,0	0,0	1,0	1,0
Secretaria de Estado da Agricultura, Pecuária, Pesca e Aquicultura	590b28bf8c36c76305bd6326	SEAGRI	0,75	1,0	0,0	1,0	1,0
Secretaria de Estado da Assistência e Desenvolvimento Social	590a3bcd8c36c731c7c20e8c	SEADES	0,75	1,0	0,0	1,0	1,0
Secretaria de Estado da Ciência, da Tecnologia, e da Inovação	588baf3e8c36c708b4355183	SECTI	0,75	1,0	0,0	1,0	1,0
Secretaria de Estado da Comunicação	588bb11a8c36c708b4355184	SECOM	0,75	1,0	0,0	1,0	1,0
Secretaria de Estado da Cultura de Alagoas	596e4b0f8c36c70a18c2cc90	SECULT	0,75	1,0	0,0	1,0	1,0
Secretaria de Estado da Educação	5908eaf78c36c7723803da8f	SEDUC	0,75	1,0	0,0	1,0	1,0
Secretaria de Estado da Fazenda	5750117e8c36c718eb000005	SEFAZ	0,75	1,0	0,0	1,0	1,0
Secretaria de Estado da Infraestrutura	5975e68f8c36c75066f557f4	SEINFRA	1,0	1,0	1,0	1,0	1,0
Secretaria de Estado da Mulher e dos Direitos Humanos	5908e8138c36c7723803da8e	SEMUDH	1,0	1,0	1,0	1,0	1,0
Secretaria de Estado da Prevenção à Violência	5975ea488c36c75066f557f9	Seprev	1,0	1,0	1,0	1,0	1,0
Secretaria de Estado da Saúde	596e4d008c36c70a18c2cc92	SESAU	0,75	1,0	0,0	1,0	1,0
Secretaria de Estado de Ressocialização e Inclusão Social	5975e9298c36c75066f557f8	SERIS	1,0	1,0	1,0	1,0	1,0
Secretaria de Estado de Transporte e Desenvolvimento Urbano	5975ec048c36c75066f557fb	Setrand	0,75	1,0	0,0	1,0	1,0
Secretaria de Estado do Desenvolvimento Econômico e Turismo	590a256e8c36c731c7c20e88	SEDETUR	0,75	1,0	0,0	1,0	1,0
Secretaria de Estado do Esporte, Lazer e Juventude de Alagoas	596e4b6c8c36c70a18c2cc91	SELAJ	0,75	1,0	0,0	1,0	1,0
Secretaria de Estado do Meio Ambiente e dos Recursos Hídricos	576c1f518c36c72a90000000	SEMARH	0,75	1,0	0,0	1,0	1,0
Secretaria de Estado do Planejamento, Gestão e Patrimônio	56d723238c36c73983000000	SEPLAG	1,0	1,0	1,0	1,0	1,0
Secretaria de Estado do Trabalho e Emprego	56df02e98c36c74559000000	SETE	1,0	1,0	1,0	1,0	1,0
Secretaria de Segurança Pública	5975e8a18c36c75066f557f7	SSP	1,0	1,0	1,0	1,0	1,0
Serviço Brasileiro de apoio às Micro e Pequenas Empresas	57754bce8c36c702ca000003	SEBRAE	0,75	1,0	0,0	1,0	1,0
Superintendencia Municipal de Transportes e Transito de Maceió	577e999e8c36c72d65000000	SMTT	1,0	1,0	1,0	1,0	1,0
Superintendência Regional do Trabalho - SRT	5a16d2af547bb32a341abae8	SRT	0,75	1,0	0,0	1,0	1,0
Superintendência de Defesa e Proteção ao Consumidor	56d6e60b8c36c706ac000007	PROCON	1,0	1,0	1,0	1,0	1,0
Tribunal Regional Eleitoral	5a15bb6b547bb36c51ab7863	TRE	1,0	1,0	1,0	1,0	1,0
Universidade Estadual de Alagoas	5975ef298c36c75066f557fe	UNEAL	0,75	1,0	0,0	1,0	1,0
Universidade Estadual de Ciências da Saúde de Alagoas	5975fae08c36c76601b0494f	UNCISAL	0,75	1,0	0,0	1,0	1,0
